id;nome;cognome;data_nascita;indirizzo;numero_telefono;email;nazionalita
1;mobile Fish;Home Loan Account Table Computer;2019-06-04T07:26:44;FTP Savings Account;deposit Tasty Metal Bacon Implementation;Cheyenne61@gmail.com;Home Loan Account
2;web-readiness;Namibia;2019-06-03T23:14:35;Gorgeous Frozen Pants;Common;Liana_Dooley@hotmail.com;Mississippi Refined 
3;Automotive;Planner cross-platform access;2019-06-04T06:29:44;Nakfa;Bahamian Dollar Investment Account;Alexzander.Daniel25@hotmail.com;invoice
4;convergence;Mayotte;2019-06-04T04:24:11;Facilitator;Views e-enable Communications;Theodora57@hotmail.com;Aruba
5;software scale interactive;Louisiana Specialist Home Loan Account;2019-06-04T02:12:56;scalable;Small;Henri.Rutherford@hotmail.com;Books
6;magenta monitor 1080p;Unbranded Plastic Tuna Frozen;2019-06-03T12:07:31;Investment Account archive Fantastic Plastic Chicken;payment;Louvenia_Goodwin47@yahoo.com;Frozen bus
7;hard drive Robust Networked;Poland;2019-06-03T22:34:43;Grocery;red;Lou56@hotmail.com;European Unit of Acc
8;relationships override;Brand;2019-06-03T18:28:01;Chilean Peso Unidades de fomento;Web virtual deposit;Jacky18@hotmail.com;Human Ghana
9;Fresh granular Direct;Profit-focused;2019-06-03T22:35:21;copying;ability Hat Iraq;Damaris26@yahoo.com;User-centric Gloves
10;Mauritania;facilitate Tasty Concrete Chips Exclusive;2019-06-03T16:07:42;card Plastic;Computers Personal Loan Account Berkshire;Alexanne_Gottlieb@gmail.com;Public-key Granite
